 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																											
C07.040B	14R0328A	14R0328A	1	2	C1	7	REFT2B	68	2																																																																																																																																																											
C10.035B	14R0328A	14R0328A	2	2	C1	10	REFT2B	69	2																																																																																																																																																											
C14.018B	14R0328A	14R0328A	3	2	C1	14	REFT2B	70	2																																																																																																																																																											
C05.028B	14R0328A	14R0328A	4	2	C1	5	REFT2B	71	2																																																																																																																																																											
C10.034B	14R0328A	14R0328A	1	2	C1	10	REFT2B	72	2																																																																																																																																																											
C20.016B	14R0328A	14R0328A	2	2	C1	20	REFT2B	73	2																																																																																																																																																											
C23.043B	14R0328A	14R0328A	3	2	C1	23	REFT2B	74	2																																																																																																																																																											
C14.019B	14R0328A	14R0328A	4	2	C1	14	REFT2B	75	2																																																																																																																																																											
C23.041B	14R0328A	14R0328A	1	2	C1	23	REFT2B	76	2																																																																																																																																																											
C24.006B	14R0328A	14R0328A	2	2	C1	24	REFT2B	77	2																																																																																																																																																											
C24.007B	14R0328A	14R0328A	3	2	C1	24	REFT2B	78	2																																																																																																																																																											
C24.008B	14R0328A	14R0328A	4	2	C1	24	REFT2B	79	2																																																																																																																																																											
C17.007B	14R0328A	14R0328A	5	2	C2	17	REFT2B	80	2																																																																																																																																																											
C15.021B	14R0328A	14R0328A	6	2	C2	15	REFT2B	81	2																																																																																																																																																											
C23.025B	14R0328A	14R0328A	7	2	C2	23	REFT2B	82	2																																																																																																																																																											
C17.020B	14R0328A	14R0328A	8	2	C2	17	REFT2B	83	2																																																																																																																																																											
C19.004B	14R0328A	14R0328A	5	2	C2	19	REFT2B	84	2																																																																																																																																																											
C02.011B	14R0328A	14R0328A	6	2	C2	2	REFT2B	85	2																																																																																																																																																											
C09.036B	14R0328A	14R0328A	7	2	C2	9	REFT2B	86	2																																																																																																																																																											
C15.023B	14R0328A	14R0328A	8	2	C2	15	REFT2B	87	2																																																																																																																																																											
C02.072B	14R0328A	14R0328A	5	2	C2	2	REFT2B	88	2																																																																																																																																																											
C08.022B	14R0328A	14R0328A	6	2	C2	8	REFT2B	89	2																																																																																																																																																											
C11.025B	14R0328A	14R0328A	7	2	C2	11	REFT2B	90	2																																																																																																																																																											
C03.034B	14R0328A	14R0328A	8	2	C2	3	REFT2B	91	2																																																																																																																																																											
C05.040B	14R0328A	14R0328A	5	2	C2	5	REFT2B	92	2																																																																																																																																																											
C08.057B	14R0328A	14R0328A	6	2	C2	8	REFT2B	93	2																																																																																																																																																											
C23.080B	14R0328A	14R0328A	7	2	C2	23	REFT2B	94	2																																																																																																																																																											
C07.001B	14R0328A	14R0328A	8	2	C2	7	REFT2B	95	2																																																																																																																																																											
C09.035B	14R0328A	14R0328A	6	2	C2	9	REFT2B	97	2																																																																																																																																																											
C02.013B	14R0328A	14R0328A	7	2	C2	2	REFT2B	98	2																																																																																																																																																											
C08.059B	14R0328A	14R0328A	8	2	C2	8	REFT2B	99	2																																																																																																																																																											
C11.023B	14R0328A	14R0328A	5	2	C2	11	REFT2B	100	2																																																																																																																																																											
C03.032B	14R0328A	14R0328A	6	2	C2	3	REFT2B	101	2																																																																																																																																																											
C02.074B	14R0328A	14R0328A	7	2	C2	2	REFT2B	102	2																																																																																																																																																											
C11.026B	14R0328A	14R0328A	8	2	C2	11	REFT2B	103	2																																																																																																																																																											
C03.021B	14R0328A	14R0328A	5	2	C2	3	REFT2B	104	2																																																																																																																																																											
C05.041B	14R0328A	14R0328A	6	2	C2	5	REFT2B	105	2																																																																																																																																																											
C06.035B	14R0328A	14R0328A	7	2	C2	6	REFT2B	106	2																																																																																																																																																											
C23.026B	14R0328A	14R0328A	8	2	C2	23	REFT2B	107	2																																																																																																																																																											
C08.056B	14R0328A	14R0328A	5	2	C2	8	REFT2B	108	2																																																																																																																																																											
C17.018B	14R0328A	14R0328A	6	2	C2	17	REFT2B	109	2																																																																																																																																																											
C08.023B	14R0328A	14R0328A	7	2	C2	8	REFT2B	110	2																																																																																																																																																											
C05.043B	14R0328A	14R0328A	8	2	C2	5	REFT2B	111	2																																																																																																																																																											
C23.067B	14R0328A	14R0328A	5	2	C2	23	REFT2B	112	2																																																																																																																																																											
C19.005B	14R0328A	14R0328A	6	2	C2	19	REFT2B	113	2																																																																																																																																																											
C01.044B	14R0328A	14R0328A	7	2	C2	1	REFT2B	114	2																																																																																																																																																											
C08.024B	14R0328A	14R0328A	8	2	C2	8	REFT2B	115	2																																																																																																																																																											
C02.010B	14R0328A	14R0328A	5	2	C2	2	REFT2B	116	2																																																																																																																																																											
C02.073B	14R0328A	14R0328A	6	2	C2	2	REFT2B	117	2																																																																																																																																																											
C08.058B	14R0328A	14R0328A	7	2	C2	8	REFT2B	118	2																																																																																																																																																											
C12.028B	14R0328A	14R0328A	8	2	C2	12	REFT2B	119	2																																																																																																																																																											
C08.021B	14R0328A	14R0328A	5	2	C2	8	REFT2B	120	2																																																																																																																																																											
C11.024B	14R0328A	14R0328A	6	2	C2	11	REFT2B	121	2																																																																																																																																																											
C12.027B	14R0328A	14R0328A	7	2	C2	12	REFT2B	122	2																																																																																																																																																											
C23.081B	14R0328A	14R0328A	8	2	C2	23	REFT2B	123	2																																																																																																																																																											
C15.020B	14R0328A	14R0328A	5	2	C2	15	REFT2B	124	2																																																																																																																																																											
C12.026B	14R0328A	14R0328A	6	2	C2	12	REFT2B	125	2																																																																																																																																																											
C17.019B	14R0328A	14R0328A	7	2	C2	17	REFT2B	126	2																																																																																																																																																											
C19.022B	14R0328A	14R0328A	8	2	C2	19	REFT2B	127	2																																																																																																																																																											
C21.004B	14R0328A	14R0328A	5	2	C2	21	REFT2B	128	2																																																																																																																																																											
C21.005B	14R0328A	14R0328A	6	2	C2	21	REFT2B	129	2																																																																																																																																																											
C19.021B	14R0328A	14R0328A	7	2	C2	19	REFT2B	130	2																																																																																																																																																											
C02.014B	14R0328A	14R0328A	8	2	C2	2	REFT2B	131	2																																																																																																																																																											
C23.019B	14R0328A	14R0328A	5	2	C2	23	REFT2B	132	2																																																																																																																																																											
C23.024B	14R0328A	14R0328A	6	2	C2	23	REFT2B	133	2																																																																																																																																																											
C03.033B	14R0328A	14R0328A	7	2	C2	3	REFT2B	134	2																																																																																																																																																											
