 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																										
C05.030B	14R0328A	14R0328A	3	2	D1	5	REFT2B	66	2																																																																																																																																																										
C12.014B	14R0328A	14R0328A	4	2	D1	12	REFT2B	67	2																																																																																																																																																										
C04.046B	14R0328A	14R0328A	1	2	D1	4	REFT2B	68	2																																																																																																																																																										
C04.048B	14R0328A	14R0328A	2	2	D1	4	REFT2B	69	2																																																																																																																																																										
C16.064B	14R0328A	14R0328A	3	2	D1	16	REFT2B	70	2																																																																																																																																																										
C03.012B	14R0328A	14R0328A	4	2	D1	3	REFT2B	71	2																																																																																																																																																										
C21.008B	14R0328A	14R0328A	1	2	D1	21	REFT2B	72	2																																																																																																																																																										
C11.029B	14R0328A	14R0328A	2	2	D1	11	REFT2B	73	2																																																																																																																																																										
C20.022B	14R0328A	14R0328A	3	2	D1	20	REFT2B	74	2																																																																																																																																																										
C05.031B	14R0328A	14R0328A	4	2	D1	5	REFT2B	75	2																																																																																																																																																										
C08.028B	14R0328A	14R0328A	5	2	D2	8	REFT2B	76	2																																																																																																																																																										
C02.055B	14R0328A	14R0328A	6	2	D2	2	REFT2B	77	2																																																																																																																																																										
C17.032B	14R0328A	14R0328A	7	2	D2	17	REFT2B	78	2																																																																																																																																																										
C02.009B	14R0328A	14R0328A	8	2	D2	2	REFT2B	79	2																																																																																																																																																										
C02.077B	14R0328A	14R0328A	5	2	D2	2	REFT2B	80	2																																																																																																																																																										
C02.099B	14R0328A	14R0328A	6	2	D2	2	REFT2B	81	2																																																																																																																																																										
C05.047B	14R0328A	14R0328A	7	2	D2	5	REFT2B	82	2																																																																																																																																																										
C13.016B	14R0328A	14R0328A	8	2	D2	13	REFT2B	83	2																																																																																																																																																										
C08.061B	14R0328A	14R0328A	5	2	D2	8	REFT2B	84	2																																																																																																																																																										
C04.022B	14R0328A	14R0328A	6	2	D2	4	REFT2B	85	2																																																																																																																																																										
C07.005B	14R0328A	14R0328A	7	2	D2	7	REFT2B	86	2																																																																																																																																																										
C03.020B	14R0328A	14R0328A	8	2	D2	3	REFT2B	87	2																																																																																																																																																										
C13.022B	14R0328A	14R0328A	5	2	D2	13	REFT2B	88	2																																																																																																																																																										
C08.044B	14R0328A	14R0328A	6	2	D2	8	REFT2B	89	2																																																																																																																																																										
C23.092B	14R0328A	14R0328A	7	2	D2	23	REFT2B	90	2																																																																																																																																																										
C11.014B	14R0328A	14R0328A	8	2	D2	11	REFT2B	91	2																																																																																																																																																										
C17.030B	14R0328A	14R0328A	5	2	D2	17	REFT2B	92	2																																																																																																																																																										
C18.025B	14R0328A	14R0328A	6	2	D2	18	REFT2B	93	2																																																																																																																																																										
C04.049B	14R0328A	14R0328A	7	2	D2	4	REFT2B	94	2																																																																																																																																																										
C01.041B	14R0328A	14R0328A	8	2	D2	1	REFT2B	95	2																																																																																																																																																										
C10.008B	14R0328A	14R0328A	5	2	D2	10	REFT2B	96	2																																																																																																																																																										
C01.031B	14R0328A	14R0328A	6	2	D2	1	REFT2B	97	2																																																																																																																																																										
C08.030B	14R0328A	14R0328A	7	2	D2	8	REFT2B	98	2																																																																																																																																																										
C04.040B	14R0328A	14R0328A	8	2	D2	4	REFT2B	99	2																																																																																																																																																										
C01.047B	14R0328A	14R0328A	5	2	D2	1	REFT2B	100	2																																																																																																																																																										
C06.019B	14R0328A	14R0328A	6	2	D2	6	REFT2B	101	2																																																																																																																																																										
C12.032B	14R0328A	14R0328A	7	2	D2	12	REFT2B	102	2																																																																																																																																																										
C05.039B	14R0328A	14R0328A	8	2	D2	5	REFT2B	103	2																																																																																																																																																										
C07.003B	14R0328A	14R0328A	5	2	D2	7	REFT2B	104	2																																																																																																																																																										
C11.002B	14R0328A	14R0328A	6	2	D2	11	REFT2B	105	2																																																																																																																																																										
C13.024B	14R0328A	14R0328A	7	2	D2	13	REFT2B	106	2																																																																																																																																																										
C08.018B	14R0328A	14R0328A	8	2	D2	8	REFT2B	107	2																																																																																																																																																										
C12.030B	14R0328A	14R0328A	5	2	D2	12	REFT2B	108	2																																																																																																																																																										
C20.021B	14R0328A	14R0328A	6	2	D2	20	REFT2B	109	2																																																																																																																																																										
C23.031B	14R0328A	14R0328A	7	2	D2	23	REFT2B	110	2																																																																																																																																																										
C08.054B	14R0328A	14R0328A	8	2	D2	8	REFT2B	111	2																																																																																																																																																										
C23.029B	14R0328A	14R0328A	5	2	D2	23	REFT2B	112	2																																																																																																																																																										
C13.006B	14R0328A	14R0328A	6	2	D2	13	REFT2B	113	2																																																																																																																																																										
C02.036B	14R0328A	14R0328A	7	2	D2	2	REFT2B	114	2																																																																																																																																																										
C19.003B	14R0328A	14R0328A	8	2	D2	19	REFT2B	115	2																																																																																																																																																										
C02.016B	14R0328A	14R0328A	5	2	D2	2	REFT2B	116	2																																																																																																																																																										
C22.035B	14R0328A	14R0328A	6	2	D2	22	REFT2B	117	2																																																																																																																																																										
C03.038B	14R0328A	14R0328A	7	2	D2	3	REFT2B	118	2																																																																																																																																																										
C23.018B	14R0328A	14R0328A	8	2	D2	23	REFT2B	119	2																																																																																																																																																										
C19.024B	14R0328A	14R0328A	5	2	D2	19	REFT2B	120	2																																																																																																																																																										
C05.029B	14R0328A	14R0328A	6	2	D2	5	REFT2B	121	2																																																																																																																																																										
C02.080B	14R0328A	14R0328A	7	2	D2	2	REFT2B	122	2																																																																																																																																																										
C06.032B	14R0328A	14R0328A	8	2	D2	6	REFT2B	123	2																																																																																																																																																										
C21.009B	14R0328A	14R0328A	5	2	D2	21	REFT2B	124	2																																																																																																																																																										
C07.044B	14R0328A	14R0328A	6	2	D2	7	REFT2B	125	2																																																																																																																																																										
C11.030B	14R0328A	14R0328A	7	2	D2	11	REFT2B	126	2																																																																																																																																																										
C17.006B	14R0328A	14R0328A	8	2	D2	17	REFT2B	127	2																																																																																																																																																										
C03.036B	14R0328A	14R0328A	5	2	D2	3	REFT2B	128	2																																																																																																																																																										
C09.022B	14R0328A	14R0328A	6	2	D2	9	REFT2B	129	2																																																																																																																																																										
C19.027B	14R0328A	14R0328A	7	2	D2	19	REFT2B	130	2																																																																																																																																																										
C21.003B	14R0328A	14R0328A	8	2	D2	21	REFT2B	131	2																																																																																																																																																										
C04.047B	14R0328A	14R0328A	5	2	D2	4	REFT2B	132	2																																																																																																																																																										
C23.045B	14R0328A	14R0328A	6	2	D2	23	REFT2B	133	2																																																																																																																																																										
C21.011B	14R0328A	14R0328A	7	2	D2	21	REFT2B	134	2																																																																																																																																																										
C23.066B	14R0328A	14R0328A	8	2	D2	23	REFT2B	135	2																																																																																																																																																										
C11.028B	14R0328A	14R0328A	5	2	D2	11	REFT2B	136	2																																																																																																																																																										
C24.009B	14R0328A	14R0328A	6	2	D2	24	REFT2B	137	2																																																																																																																																																										
C01.058B	14R0328A	14R0328A	7	2	D2	1	REFT2B	138	2																																																																																																																																																										
C02.071B	14R0328A	14R0328A	8	2	D2	2	REFT2B	139	2																																																																																																																																																										
C15.025B	14R0328A	14R0328A	5	2	D2	15	REFT2B	140	2																																																																																																																																																										
C12.012B	14R0328A	14R0328A	6	2	D2	12	REFT2B	141	2																																																																																																																																																										
