 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																										
C23.095B	14R0328A	14R0328A	2	2	A1	23	REFT2B	69	2																																																																																																																																																										
C20.009B	14R0328A	14R0328A	3	2	A1	20	REFT2B	70	2																																																																																																																																																										
C11.035B	14R0328A	14R0328A	4	2	A1	11	REFT2B	71	2																																																																																																																																																										
C01.065B	14R0328A	14R0328A	1	2	A1	1	REFT2B	72	2																																																																																																																																																										
C05.016B	14R0328A	14R0328A	2	2	A1	5	REFT2B	73	2																																																																																																																																																										
C01.012B	14R0328A	14R0328A	3	2	A1	1	REFT2B	74	2																																																																																																																																																										
C12.038B	14R0328A	14R0328A	4	2	A1	12	REFT2B	75	2																																																																																																																																																										
C11.032B	14R0328A	14R0328A	1	2	A1	11	REFT2B	76	2																																																																																																																																																										
C07.016B	14R0328A	14R0328A	2	2	A1	7	REFT2B	77	2																																																																																																																																																										
C23.096B	14R0328A	14R0328A	3	2	A1	23	REFT2B	78	2																																																																																																																																																										
C23.036B	14R0328A	14R0328A	4	2	A1	23	REFT2B	79	2																																																																																																																																																										
C01.034B	14R0328A	14R0328A	5	2	A2	1	REFT2B	80	2																																																																																																																																																										
C16.068B	14R0328A	14R0328A	6	2	A2	16	REFT2B	81	2																																																																																																																																																										
C23.061B	14R0328A	14R0328A	7	2	A2	23	REFT2B	82	2																																																																																																																																																										
C09.029B	14R0328A	14R0328A	8	2	A2	9	REFT2B	83	2																																																																																																																																																										
C06.024B	14R0328A	14R0328A	5	2	A2	6	REFT2B	84	2																																																																																																																																																										
C01.035B	14R0328A	14R0328A	6	2	A2	1	REFT2B	85	2																																																																																																																																																										
C09.027B	14R0328A	14R0328A	7	2	A2	9	REFT2B	86	2																																																																																																																																																										
C01.037B	14R0328A	14R0328A	8	2	A2	1	REFT2B	87	2																																																																																																																																																										
C20.025B	14R0328A	14R0328A	5	2	A2	20	REFT2B	88	2																																																																																																																																																										
C12.016B	14R0328A	14R0328A	6	2	A2	12	REFT2B	89	2																																																																																																																																																										
C03.015B	14R0328A	14R0328A	7	2	A2	3	REFT2B	90	2																																																																																																																																																										
C20.028B	14R0328A	14R0328A	8	2	A2	20	REFT2B	91	2																																																																																																																																																										
C05.032B	14R0328A	14R0328A	5	2	A2	5	REFT2B	92	2																																																																																																																																																										
C20.026B	14R0328A	14R0328A	6	2	A2	20	REFT2B	93	2																																																																																																																																																										
C01.036B	14R0328A	14R0328A	7	2	A2	1	REFT2B	94	2																																																																																																																																																										
C23.062B	14R0328A	14R0328A	8	2	A2	23	REFT2B	95	2																																																																																																																																																										
C12.015B	14R0328A	14R0328A	5	2	A2	12	REFT2B	96	2																																																																																																																																																										
C23.011B	14R0328A	14R0328A	6	2	A2	23	REFT2B	97	2																																																																																																																																																										
C16.069B	14R0328A	14R0328A	7	2	A2	16	REFT2B	98	2																																																																																																																																																										
C03.016B	14R0328A	14R0328A	8	2	A2	3	REFT2B	99	2																																																																																																																																																										
C16.067B	14R0328A	14R0328A	5	2	A2	16	REFT2B	100	2																																																																																																																																																										
C03.014B	14R0328A	14R0328A	6	2	A2	3	REFT2B	101	2																																																																																																																																																										
C01.091B	14R0328A	14R0328A	7	2	A2	1	REFT2B	102	2																																																																																																																																																										
C01.092B	14R0328A	14R0328A	8	2	A2	1	REFT2B	103	2																																																																																																																																																										
C23.010B	14R0328A	14R0328A	5	2	A2	23	REFT2B	104	2																																																																																																																																																										
C07.048B	14R0328A	14R0328A	6	2	A2	7	REFT2B	105	2																																																																																																																																																										
C05.034B	14R0328A	14R0328A	7	2	A2	5	REFT2B	106	2																																																																																																																																																										
C04.033B	14R0328A	14R0328A	8	2	A2	4	REFT2B	107	2																																																																																																																																																										
C07.047B	14R0328A	14R0328A	5	2	A2	7	REFT2B	108	2																																																																																																																																																										
C11.008B	14R0328A	14R0328A	6	2	A2	11	REFT2B	109	2																																																																																																																																																										
C08.049B	14R0328A	14R0328A	7	2	A2	8	REFT2B	110	2																																																																																																																																																										
C08.050B	14R0328A	14R0328A	8	2	A2	8	REFT2B	111	2																																																																																																																																																										
C09.025B	14R0328A	14R0328A	5	2	A2	9	REFT2B	112	2																																																																																																																																																										
C05.033B	14R0328A	14R0328A	6	2	A2	5	REFT2B	113	2																																																																																																																																																										
C12.019B	14R0328A	14R0328A	7	2	A2	12	REFT2B	114	2																																																																																																																																																										
C02.067B	14R0328A	14R0328A	8	2	A2	2	REFT2B	115	2																																																																																																																																																										
C14.024B	14R0328A	14R0328A	5	2	A2	14	REFT2B	116	2																																																																																																																																																										
C04.030B	14R0328A	14R0328A	6	2	A2	4	REFT2B	117	2																																																																																																																																																										
C14.026B	14R0328A	14R0328A	7	2	A2	14	REFT2B	118	2																																																																																																																																																										
C12.020B	14R0328A	14R0328A	8	2	A2	12	REFT2B	119	2																																																																																																																																																										
C18.028B	14R0328A	14R0328A	5	2	A2	18	REFT2B	120	2																																																																																																																																																										
C06.025B	14R0328A	14R0328A	6	2	A2	6	REFT2B	121	2																																																																																																																																																										
C20.027B	14R0328A	14R0328A	7	2	A2	20	REFT2B	122	2																																																																																																																																																										
C05.035B	14R0328A	14R0328A	8	2	A2	5	REFT2B	123	2																																																																																																																																																										
C23.055B	14R0328A	14R0328A	5	2	A2	23	REFT2B	124	2																																																																																																																																																										
C08.048B	14R0328A	14R0328A	6	2	A2	8	REFT2B	125	2																																																																																																																																																										
