 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																										
C05.019B	14R0328A	14R0328A	1	2	B1	5	REFT2B	71	2																																																																																																																																																										
C03.039B	14R0328A	14R0328A	2	2	B1	3	REFT2B	72	2																																																																																																																																																										
C24.003B	14R0328A	14R0328A	4	2	B1	24	REFT2B	74	2																																																																																																																																																										
C16.018B	14R0328A	14R0328A	1	2	B1	16	REFT2B	75	2																																																																																																																																																										
C23.032B	14R0328A	14R0328A	2	2	B1	23	REFT2B	76	2																																																																																																																																																										
C11.037B	14R0328A	14R0328A	3	2	B1	11	REFT2B	77	2																																																																																																																																																										
C05.023B	14R0328A	14R0328A	4	2	B1	5	REFT2B	78	2																																																																																																																																																										
C22.024B	14R0328A	14R0328A	1	2	B1	22	REFT2B	79	2																																																																																																																																																										
C10.011B	14R0328A	14R0328A	2	2	B1	10	REFT2B	80	2																																																																																																																																																										
C16.019B	14R0328A	14R0328A	3	2	B1	16	REFT2B	81	2																																																																																																																																																										
C10.032B	14R0328A	14R0328A	4	2	B1	10	REFT2B	82	2																																																																																																																																																										
C16.048B	14R0328A	14R0328A	5	2	B2	16	REFT2B	83	2																																																																																																																																																										
C16.071B	14R0328A	14R0328A	6	2	B2	16	REFT2B	84	2																																																																																																																																																										
C07.054B	14R0328A	14R0328A	7	2	B2	7	REFT2B	85	2																																																																																																																																																										
C19.002B	14R0328A	14R0328A	8	2	B2	19	REFT2B	86	2																																																																																																																																																										
C24.004B	14R0328A	14R0328A	5	2	B2	24	REFT2B	87	2																																																																																																																																																										
C03.017B	14R0328A	14R0328A	6	2	B2	3	REFT2B	88	2																																																																																																																																																										
C15.017B	14R0328A	14R0328A	7	2	B2	15	REFT2B	89	2																																																																																																																																																										
C03.019B	14R0328A	14R0328A	8	2	B2	3	REFT2B	90	2																																																																																																																																																										
C08.039B	14R0328A	14R0328A	5	2	B2	8	REFT2B	91	2																																																																																																																																																										
C06.028B	14R0328A	14R0328A	6	2	B2	6	REFT2B	92	2																																																																																																																																																										
C06.029B	14R0328A	14R0328A	7	2	B2	6	REFT2B	93	2																																																																																																																																																										
C04.039B	14R0328A	14R0328A	8	2	B2	4	REFT2B	94	2																																																																																																																																																										
C18.032B	14R0328A	14R0328A	6	2	B2	18	REFT2B	96	2																																																																																																																																																										
C12.022B	14R0328A	14R0328A	7	2	B2	12	REFT2B	97	2																																																																																																																																																										
C15.018B	14R0328A	14R0328A	8	2	B2	15	REFT2B	98	2																																																																																																																																																										
C01.025B	14R0328A	14R0328A	5	2	B2	1	REFT2B	99	2																																																																																																																																																										
C20.029B	14R0328A	14R0328A	6	2	B2	20	REFT2B	100	2																																																																																																																																																										
